Rk,Player,Pos,Age,Team?,G,MP,WR,TS,FTr,3PAr,FG,2P,3P,eFG,FT,,
97,Furkan Korkmaz,SG,23,PHI,55,1062,0.681,0.544,0.193,0.634,0.401,0.445,0.376,0.52,0.732,,
98,Joel Embiid,C,26,PHI,51,1585,0.681,0.636,0.61,0.171,0.513,0.541,0.377,0.545,0.86,,
99,Mike Scott,PF,32,PHI,51,852,0.681,0.492,0.057,0.735,0.36,0.411,0.342,0.486,0.667,,
100,Isaiah Joe,SG,21,PHI,41,383,0.681,0.533,0.18,0.797,0.361,0.333,0.368,0.508,0.75,,
101,Paul Reed,PF,21,PHI,26,177,0.681,0.54,0.103,0.077,0.538,0.583,0,0.538,0.5,,
102,Dwayne Bacon,SG,25,ORL,72,1853,0.292,0.49,0.242,0.285,0.402,0.449,0.285,0.443,0.824,,
103,Cole Anthony,PG,20,ORL,47,1273,0.292,0.496,0.237,0.312,0.397,0.424,0.337,0.449,0.832,,
104,Mo Bamba,C,22,ORL,46,725,0.292,0.556,0.219,0.392,0.472,0.568,0.322,0.535,0.682,,
105,Terrence Ross,SG,29,ORL,46,1347,0.292,0.53,0.224,0.429,0.412,0.469,0.337,0.485,0.87,,
106,Chuma Okeke,PF,22,ORL,45,1133,0.292,0.511,0.123,0.435,0.417,0.47,0.347,0.492,0.75,,
107,James Ennis,SF,30,ORL,41,986,0.292,0.613,0.358,0.428,0.473,0.504,0.433,0.566,0.805,,
108,Chasson Randle,PG,27,ORL,41,837,0.292,0.515,0.203,0.548,0.388,0.449,0.339,0.481,0.792,,
109,Michael Carter-Williams,SG,29,ORL,31,800,0.292,0.449,0.296,0.226,0.389,0.431,0.246,0.417,0.613,,
110,Kenrich Williams,PF,26,OKC,66,1426,0.306,0.6,0.153,0.285,0.533,0.568,0.444,0.596,0.571,,
111,Théo Maledon,PG,19,OKC,65,1778,0.306,0.489,0.22,0.51,0.368,0.402,0.336,0.454,0.748,,
112,Isaiah Roby,PF,22,OKC,61,1425,0.306,0.555,0.273,0.254,0.482,0.547,0.294,0.52,0.744,,
113,Darius Bazley,PF,20,OKC,55,1714,0.306,0.491,0.258,0.414,0.396,0.47,0.29,0.456,0.702,,
114,Luguentz Dort,SG,21,OKC,52,1543,0.306,0.512,0.257,0.515,0.387,0.432,0.344,0.475,0.744,,
115,Aleksej Pokusevski,PF,19,OKC,45,1090,0.306,0.43,0.103,0.507,0.341,0.403,0.28,0.412,0.738,,
116,Moses Brown,C,21,OKC,43,920,0.306,0.572,0.47,0,0.545,0.545,,0.545,0.619,,
117,Shai Gilgeous-Alexander,SG,22,OKC,35,1180,0.306,0.623,0.405,0.301,0.508,0.547,0.418,0.571,0.808,,
118,Mike Muscala,C,29,OKC,35,645,0.306,0.599,0.135,0.689,0.446,0.615,0.37,0.573,0.917,,
119,Ty Jerome,SG,23,OKC,33,788,0.306,0.585,0.118,0.585,0.446,0.479,0.423,0.57,0.765,,
120,Al Horford,C,34,OKC,28,782,0.306,0.538,0.061,0.422,0.45,0.51,0.368,0.528,0.818,,
121,Josh Hall,SF,20,OKC,21,336,0.306,0.363,0.444,0.374,0.303,0.419,0.108,0.323,0.5,,
122,RJ Barrett,SG,20,NYK,72,2511,0.569,0.535,0.26,0.291,0.441,0.457,0.401,0.499,0.746,,
123,Julius Randle,PF,26,NYK,71,2667,0.569,0.567,0.325,0.294,0.456,0.474,0.411,0.516,0.811,,
124,Reggie Bullock,SF,29,NYK,65,1949,0.569,0.606,0.098,0.709,0.442,0.521,0.409,0.587,0.909,,
125,Nerlens Noel,C,26,NYK,64,1547,0.569,0.638,0.314,0.013,0.614,0.623,0,0.614,0.714,,
126,Immanuel Quickley,PG,21,NYK,64,1243,0.569,0.557,0.3,0.522,0.395,0.401,0.389,0.497,0.891,,
127,Elfrid Payton,PG,26,NYK,63,1484,0.569,0.477,0.172,0.158,0.432,0.46,0.286,0.455,0.682,,
128,Obi Toppin,PF,22,NYK,62,683,0.569,0.574,0.124,0.407,0.498,0.629,0.306,0.56,0.731,,
129,Alec Burks,SG,29,NYK,49,1255,0.569,0.564,0.236,0.492,0.42,0.425,0.415,0.522,0.856,,
130,Taj Gibson,C,35,NYK,45,936,0.569,0.661,0.348,0.095,0.627,0.671,0.2,0.636,0.727,,
131,Kevin Knox,SF,21,NYK,42,464,0.569,0.537,0.14,0.622,0.392,0.389,0.393,0.514,0.8,,
132,Frank Ntilikina,PG,22,NYK,33,322,0.569,0.512,0.228,0.608,0.367,0.194,0.479,0.513,0.444,,
133,Mitchell Robinson,C,22,NYK,31,853,0.569,0.642,0.301,0,0.653,0.653,,0.653,0.491,,
134,Eric Bledsoe,SG,31,NOP,71,2111,0.431,0.533,0.267,0.486,0.42,0.496,0.341,0.503,0.687,,
135,Brandon Ingram,SF,23,NOP,61,2093,0.431,0.584,0.291,0.341,0.466,0.51,0.381,0.531,0.878,,
136,Zion Williamson,PF,20,NOP,61,2026,0.431,0.648,0.51,0.033,0.611,0.622,0.294,0.616,0.698,,
137,Jaxson Hayes,C,20,NOP,60,964,0.431,0.675,0.429,0.05,0.625,0.635,0.429,0.636,0.775,,
138,Steven Adams,C,27,NOP,58,1605,0.431,0.596,0.438,0.01,0.614,0.62,0,0.614,0.444,,
139,Lonzo Ball,PG,23,NOP,55,1747,0.431,0.551,0.091,0.65,0.414,0.482,0.378,0.537,0.781,,
140,Kira Lewis Jr.,PG,19,NOP,54,904,0.431,0.477,0.151,0.356,0.386,0.415,0.333,0.445,0.843,,
141,Josh Hart,SF,25,NOP,47,1349,0.431,0.566,0.259,0.561,0.439,0.583,0.326,0.531,0.775,,
142,Willy Hernangómez,C,26,NOP,47,846,0.431,0.591,0.347,0.037,0.563,0.581,0.1,0.565,0.667,,
143,Nickeil Alexander-Walker,SG,22,NOP,46,1007,0.431,0.521,0.144,0.478,0.419,0.485,0.347,0.502,0.727,,
144,Naji Marshall,SF,23,NOP,32,700,0.431,0.508,0.359,0.397,0.392,0.421,0.349,0.462,0.707,,
